City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,boca do acre,-8.7522,-67.3978,22.34,99,100,1.39,BR,1673898610
324,xining,36.6167,101.7667,-14.71,96,99,0.6,CN,1673898611
325,yoichi,43.2039,140.7703,-5.24,77,100,4.14,JP,1673898611
326,shashi,30.3072,112.2447,0.47,57,8,1.02,CN,1673898612
327,huainan,32.6264,116.9969,-1.75,61,16,1.82,CN,1673898613
328,marrakesh,31.6315,-8.0083,16.04,51,0,2.06,MA,1673898614
329,kaz,52.9113,87.3105,-9.68,94,100,5.97,RU,1673898615
330,ledyard,41.4398,-72.0142,4.1,63,100,6.69,US,1673898615
331,soyo,-6.1349,12.3689,26.08,82,99,2.71,AO,1673898616
332,hithadhoo,-0.6,73.0833,26.54,67,13,2.04,MV,1673898617
333,lake city,30.1897,-82.6393,20.33,20,0,2.06,US,1673898337
334,atbasar,51.8,68.3333,-18.75,81,26,2.2,KZ,1673898618
335,yaan,7.3833,8.5667,28.78,16,98,2.56,NG,1673898619
336,bosaso,11.2842,49.1816,23.98,69,19,2.36,SO,1673898620
337,basco,20.4487,121.9702,22.29,77,100,12.76,PH,1673898620
338,prince george,53.9166,-122.753,0.7,98,40,3.09,CA,1673898621
339,vila,42.0304,-8.1588,6.49,96,100,9.05,PT,1673898407
340,balkhash,46.844,74.9804,-21.91,98,11,2.51,KZ,1673898623
341,maragogi,-9.0122,-35.2225,26.42,73,100,3.8,BR,1673898624
342,solano,38.2333,-121.9511,14.03,69,0,7.2,US,1673898624
343,cidreira,-30.1811,-50.2056,24.46,77,96,5.06,BR,1673898625
344,maneadero,31.7167,-116.5667,17.28,73,100,2.24,MX,1673898626
345,dakar,14.6937,-17.4441,29.49,60,100,6.39,SN,1673898630
346,el dorado,38.7666,-120.5177,4.2,98,100,1.34,US,1673898631
347,boyolangu,-8.1181,111.8935,23.77,91,99,0.22,ID,1673898631
